时间,序列号,计轴数量,计轴次序,本计轴数据长度,计轴区段ID,计轴方向,计轴所属联锁,计轴所属ZC,共管区段计轴标志位,计轴锁闭状态,计轴占用状态,计轴上周占用状态,计轴区段之前通过列车类型,计轴区段非通信列车占用标记,计轴区段非通信列车占用标志冗余等待位,计轴区段的混跑标记,计轴区段ARB状态标记,计轴区段ARB标志和冗余等待位,计轴区段包含的逻辑区段数量,逻辑区段_1_ID,状态,逻辑区段_2_ID,状态,逻辑区段_3_ID,状态,逻辑区段_4_ID,状态,逻辑区段_5_ID,状态,逻辑区段_6_ID,状态,逻辑区段_7_ID,状态,逻辑区段_8_ID,状态,逻辑区段_9_ID,状态,逻辑区段_10_ID,状态,逻辑区段_11_ID,状态,逻辑区段_12_ID,状态,逻辑区段_13_ID,状态,逻辑区段_14_ID,状态,逻辑区段_15_ID,状态,逻辑区段_16_ID,状态,计轴区段内当前列车数量,列车_1_ID,类型,列车_2_ID,类型,列车_3_ID,类型,列车_4_ID,类型,列车_5_ID,类型,列车_6_ID,类型,列车_7_ID,类型,列车_8_ID,类型,列车_9_ID,类型,列车_10_ID,类型,列车_11_ID,类型,列车_12_ID,类型,列车_13_ID,类型,列车_14_ID,类型,列车_15_ID,类型,
2017-12-3 11:38:19,6747,62,11,25,0x76,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xbf,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,12,31,0x77,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,3,0xc2,0x0,0xc1,0x0,0xc0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,13,28,0x78,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,2,0xc4,0x0,0xc3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,14,25,0x79,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,15,31,0x7a,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,3,0xc8,0x0,0xc7,0x0,0xc6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,16,25,0x7b,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xc9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,17,25,0x7c,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xca,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,18,25,0x7d,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xcb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,19,25,0x7e,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xcc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,20,25,0x7f,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xcd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,21,25,0x80,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xce,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,22,25,0x81,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xcf,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,23,25,0x82,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xd0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,24,25,0x83,0x0,0x1,0x1,0x55,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xd1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,25,25,0x84,0x0,0x1,0x1,0x55,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xd2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,26,25,0x85,0x0,0x1,0x1,0x55,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xd3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,27,37,0x86,0x0,0x1,0x1,0x55,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,5,0xd8,0x0,0xd7,0x0,0xd6,0x0,0xd5,0x0,0xd4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,28,25,0x87,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xd9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,29,25,0x88,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xda,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,30,25,0x89,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xdb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,31,25,0x8a,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xdc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,32,25,0x8b,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xdd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,33,25,0x8c,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xde,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,34,31,0x8d,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,3,0xe1,0x0,0xe0,0x0,0xdf,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,35,25,0x8e,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xe2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,36,31,0x8f,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,3,0xe5,0x0,0xe4,0x0,0xe3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,37,25,0x90,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xe6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
